calendar-year,setting-1,need-1,academic-year-1,setting-2,need-2,academic-year-2
2013,I,V,9,I,V,10
2013,B,T,0,B,T,1
2013,C,X,6,C,X,7
2013,B,T,4,B,T,5
2013,I,U,13,NONSEND,NONSEND,14
2013,B,U,11,NONSEND,NONSEND,12
2013,B,T,8,B,T,9
2013,B,T,0,A,T,1
2013,A,X,11,NONSEND,NONSEND,12
2013,F,V,6,A,V,7
2013,L,Y,9,NONSEND,NONSEND,10
2013,B,X,6,B,X,7
2013,NONSEND,NONSEND,-2,B,T,-1
2013,NONSEND,NONSEND,-2,A,T,-1
2013,B,T,2,B,T,3
2013,NONSEND,NONSEND,1,B,T,2
2013,B,T,5,B,T,6
2013,A,U,7,A,U,8
2013,B,U,11,B,U,12
2013,F,T,3,F,T,4
2013,NONSEND,NONSEND,6,A,X,7
2013,B,U,7,B,U,8
2013,B,Y,12,B,Y,13
2013,A,X,8,A,X,9
2013,A,U,10,A,U,11
2013,B,T,12,B,T,13
2013,B,U,6,B,U,7
2013,B,T,2,B,T,3
2013,B,T,7,B,T,8
2013,F,W,-1,F,W,0
2013,B,U,6,A,U,7
2013,E,X,10,E,X,11
2013,B,T,7,B,T,8
2013,B,Y,6,B,Y,7
2013,A,U,-1,A,U,0
2013,F,Y,-1,F,Y,0
2013,B,T,10,B,T,11
2013,F,T,3,B,T,4
2013,K,T,2,K,T,3
2013,A,T,-1,A,T,0
2013,NONSEND,NONSEND,2,B,X,3
2013,B,U,5,L,U,6
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,T,4,B,T,5
2013,R,U,10,R,U,11
2013,B,U,8,B,U,9
2013,B,T,1,B,T,2
2013,F,T,1,F,T,2
2013,B,U,3,B,U,4
2013,L,X,5,B,X,6
2013,B,U,10,B,U,11
2013,F,Y,0,F,Y,1
2013,B,U,1,B,U,2
2013,B,T,4,B,T,5
2013,B,U,3,B,U,4
2013,B,U,2,B,U,3
2013,J,T,1,J,T,2
2013,B,T,13,NONSEND,NONSEND,14
2013,A,T,0,A,T,1
2013,B,T,8,B,T,9
2013,B,T,2,B,T,3
2013,B,T,4,B,T,5
2013,B,T,5,B,T,6
2013,B,X,10,B,X,11
2013,A,U,9,A,U,10
2013,B,T,0,A,T,1
2013,A,T,6,A,T,7
2013,B,X,6,B,X,7
2013,F,Y,1,F,Y,2
2013,A,T,0,A,T,1
2013,A,X,9,A,X,10
2013,NONSEND,NONSEND,-2,B,Y,-1
2013,B,T,3,B,T,4
2013,B,U,12,NONSEND,NONSEND,13
2013,NONSEND,NONSEND,4,B,U,5
2013,D,T,12,J,T,13
2013,B,X,3,B,X,4
2013,B,U,6,B,U,7
2013,NONSEND,NONSEND,4,B,U,5
2013,N,X,10,E,X,11
2013,B,Y,12,B,Y,13
2013,B,T,1,B,T,2
2013,B,U,4,B,U,5
2013,A,T,2,A,T,3
2013,A,T,5,A,T,6
2013,B,T,6,B,T,7
2013,B,T,6,B,T,7
2013,NONSEND,NONSEND,-1,B,U,0
2013,NONSEND,NONSEND,-1,B,U,0
2013,NONSEND,NONSEND,10,B,X,11
2013,B,T,-1,B,T,0
2013,B,T,0,B,T,1
2013,D,X,8,D,X,9
2013,A,Y,10,A,Y,11
2013,B,W,9,B,W,10
2013,M,X,6,M,X,7
2013,A,W,12,A,W,13
2013,B,T,5,B,T,6
2013,H,T,8,H,T,9
2013,K,T,2,K,T,3
2013,B,T,4,B,T,5
2013,H,T,6,H,T,7
2013,A,X,8,A,X,9
2013,B,W,12,B,W,13
2013,A,U,3,A,U,4
2013,B,X,10,B,X,11
2013,NONSEND,NONSEND,-1,B,T,0
2013,F,W,12,B,W,13
2013,F,Y,0,F,Y,1
2013,D,X,8,D,X,9
2013,A,Y,10,A,Y,11
2013,A,T,5,A,T,6
2013,J,Y,4,J,Y,5
2013,A,T,9,A,T,10
2013,NONSEND,NONSEND,0,B,T,1
2013,B,T,4,B,T,5
2013,B,U,11,B,U,12
2013,A,U,14,NONSEND,NONSEND,15
2013,B,T,4,B,T,5
2013,B,U,9,B,U,10
2013,D,X,10,N,X,11
2013,L,T,10,C,T,11
2013,NONSEND,NONSEND,0,F,T,1
2013,B,T,1,B,T,2
2013,B,U,5,B,U,6
2013,A,U,0,A,U,1
2013,B,W,5,B,W,6
2013,A,X,11,NONSEND,NONSEND,12
2013,R,U,12,R,U,13
2013,B,T,14,NONSEND,NONSEND,15
2013,J,T,3,NONSEND,NONSEND,4
2013,B,U,0,B,U,1
2013,A,T,10,A,T,11
2013,F,Y,3,F,Y,4
2013,B,T,9,B,T,10
2013,B,T,8,B,T,9
2013,B,T,0,A,T,1
2013,B,T,1,B,T,2
2013,B,U,10,B,U,11
2013,M,X,11,NONSEND,NONSEND,12
2013,B,V,1,B,V,2
2013,NONSEND,NONSEND,0,B,T,1
2013,B,T,12,B,T,13
2013,B,X,2,E,X,3
2013,A,Y,12,A,Y,13
2013,A,U,-1,A,U,0
2013,R,X,8,R,X,9
2013,F,T,1,B,T,2
2013,NONSEND,NONSEND,6,L,Y,7
2013,L,Y,4,L,Y,5
2013,NONSEND,NONSEND,0,B,T,1
2013,NONSEND,NONSEND,6,B,U,7
2013,A,U,8,A,U,9
2013,M,X,6,M,X,7
2013,A,T,12,A,T,13
2013,NONSEND,NONSEND,2,B,U,3
2013,A,U,-1,A,U,0
2013,A,U,1,A,U,2
2013,A,U,10,A,U,11
2013,M,Y,7,M,Y,8
2013,B,Y,9,B,Y,10
2013,B,T,2,B,T,3
2013,NONSEND,NONSEND,0,B,T,1
2013,F,Y,1,F,Y,2
2013,B,T,3,B,T,4
2013,B,X,7,B,X,8
2013,A,V,4,A,V,5
2013,C,X,10,C,X,11
2013,B,U,8,B,U,9
2013,NONSEND,NONSEND,-2,J,Y,-1
2013,A,T,2,A,T,3
2013,B,T,6,B,T,7
2013,B,X,9,B,X,10
2013,B,T,5,B,T,6
2013,B,U,14,NONSEND,NONSEND,15
2013,A,X,5,NONSEND,NONSEND,6
2013,B,U,2,B,U,3
2013,B,U,7,B,U,8
2013,B,T,11,NONSEND,NONSEND,12
2013,F,Y,10,F,Y,11
2013,B,U,8,B,U,9
2013,B,T,8,B,T,9
2013,B,Y,2,B,Y,3
2013,F,T,1,E,T,2
2013,A,T,2,A,T,3
2013,B,W,12,B,W,13
2013,B,T,1,A,T,2
2013,B,T,0,B,T,1
2013,NONSEND,NONSEND,0,B,T,1
2013,H,T,7,H,T,8
2013,B,T,2,B,T,3
2013,F,Y,1,F,Y,2
2013,NONSEND,NONSEND,-1,B,Y,0
2013,B,X,13,NONSEND,NONSEND,14
2013,A,T,2,A,T,3
2013,R,W,12,R,W,13
2013,B,U,5,B,U,6
2013,A,U,2,A,U,3
2013,C,U,10,C,U,11
2013,B,X,9,B,X,10
2013,A,U,1,A,U,2
2013,F,T,5,F,T,6
2013,A,U,10,A,U,11
2013,B,T,0,B,T,1
2013,E,T,3,E,T,4
2013,F,Y,0,F,Y,1
2013,B,T,4,B,T,5
2013,NONSEND,NONSEND,-2,R,U,-1
2013,B,V,5,B,V,6
2013,B,T,0,B,T,1
2013,B,X,6,B,X,7
2013,L,U,7,L,U,8
2013,B,U,-1,B,U,0
2013,NONSEND,NONSEND,5,B,U,6
2013,B,U,0,B,U,1
2013,F,W,-1,F,W,0
2013,B,W,9,B,W,10
2013,B,T,6,B,T,7
2013,A,U,8,A,U,9
2013,E,Y,15,NONSEND,NONSEND,16
2013,C,T,14,NONSEND,NONSEND,15
2013,NONSEND,NONSEND,0,B,T,1
2013,A,X,3,A,X,4
2013,B,U,12,NONSEND,NONSEND,13
2013,B,T,11,B,T,12
2013,B,T,6,B,T,7
2013,B,U,2,B,U,3
2013,B,U,5,B,U,6
2013,B,W,6,B,W,7
2013,B,U,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,-2,B,Y,-1
2013,B,T,4,B,T,5
2013,NONSEND,NONSEND,3,E,T,4
2013,A,T,1,A,T,2
2013,J,Y,11,L,Y,12
2013,NONSEND,NONSEND,0,B,T,1
2013,NONSEND,NONSEND,1,B,U,2
2013,H,T,0,H,T,1
2013,B,U,6,B,U,7
2013,A,T,1,A,T,2
2013,B,X,6,B,X,7
2013,A,U,-2,A,U,-1
2013,B,T,6,B,T,7
2013,I,T,7,I,T,8
2013,B,W,12,B,W,13
2013,B,T,6,B,T,7
2013,A,U,10,A,U,11
2013,B,V,1,B,V,2
2013,B,W,12,B,W,13
2013,E,T,6,A,T,7
2013,A,X,11,NONSEND,NONSEND,12
2013,B,T,4,B,T,5
2013,B,T,14,NONSEND,NONSEND,15
2013,B,T,2,B,T,3
2013,B,T,10,B,T,11
2013,NONSEND,NONSEND,-2,B,T,-1
2013,A,U,10,A,U,11
2013,B,X,8,B,X,9
2013,B,X,7,A,X,8
2013,B,T,6,B,T,7
2013,NONSEND,NONSEND,-1,B,T,0
2013,F,Y,6,F,Y,7
2013,B,X,10,B,X,11
2013,A,T,7,A,T,8
2013,B,T,1,B,T,2
2013,B,T,7,B,T,8
2013,NONSEND,NONSEND,6,B,Y,7
2013,R,W,12,R,W,13
2013,B,T,3,B,T,4
2013,B,Y,5,B,Y,6
2013,NONSEND,NONSEND,1,B,X,2
2013,NONSEND,NONSEND,-2,B,U,-1
2013,B,U,0,B,U,1
2013,NONSEND,NONSEND,0,B,U,1
2013,I,T,0,I,T,1
2013,NONSEND,NONSEND,4,B,T,5
2013,B,T,6,B,T,7
2013,NONSEND,NONSEND,-1,B,T,0
2013,N,T,10,E,T,11
2013,F,T,5,F,T,6
2013,B,U,4,B,U,5
2013,B,T,-1,B,T,0
2013,A,X,4,A,X,5
2013,B,U,9,B,U,10
2013,A,T,3,A,T,4
2013,B,U,0,B,U,1
2013,B,X,10,B,X,11
2013,P,Y,-2,NONSEND,NONSEND,-1
2013,F,Y,0,F,Y,1
2013,B,T,7,B,T,8
2013,P,T,-1,B,T,0
2013,B,W,12,B,W,13
2013,F,Y,0,F,Y,1
2013,B,X,3,B,X,4
2013,B,Y,2,B,Y,3
2013,J,T,4,J,T,5
2013,D,X,11,D,X,12
2013,B,T,7,B,T,8
2013,L,Y,11,L,Y,12
2013,B,T,5,B,T,6
2013,F,T,6,I,T,7
2013,B,X,7,B,X,8
2013,F,T,4,F,T,5
2013,B,U,4,B,U,5
2013,B,T,-1,A,T,0
2013,NONSEND,NONSEND,7,B,X,8
2013,NONSEND,NONSEND,-2,A,U,-1
2013,J,Y,5,J,Y,6
2013,B,X,8,D,X,9
2013,A,T,8,A,T,9
2013,R,U,5,R,U,6
2013,B,T,-1,K,T,0
2013,B,T,9,B,T,10
2013,NONSEND,NONSEND,0,F,Y,1
2013,NONSEND,NONSEND,3,F,T,4
2013,F,T,0,F,T,1
2013,B,V,4,B,V,5
2013,R,T,10,R,T,11
2013,F,Y,0,A,Y,1
2013,L,T,8,L,T,9
2013,B,U,5,B,U,6
2013,A,T,1,A,T,2
2013,E,T,6,E,T,7
2013,B,U,3,B,U,4
2013,J,T,5,B,T,6
2013,B,U,2,B,U,3
2013,E,X,6,L,X,7
2013,B,U,8,B,U,9
2013,NONSEND,NONSEND,-2,B,U,-1
2013,A,X,2,A,X,3
2013,B,T,-1,B,T,0
2013,NONSEND,NONSEND,0,B,T,1
2013,B,T,8,B,T,9
2013,A,T,3,A,T,4
2013,NONSEND,NONSEND,-3,A,U,-2
2013,R,U,12,R,U,13
2013,B,T,1,B,T,2
2013,B,Y,9,B,Y,10
2013,F,T,0,F,T,1
2013,A,X,2,A,X,3
2013,B,T,5,B,T,6
2013,G,Y,10,F,Y,11
2013,B,Y,3,B,Y,4
2013,B,T,11,B,T,12
2013,B,Y,9,B,Y,10
2013,B,T,4,B,T,5
2013,NONSEND,NONSEND,0,F,Y,1
2013,B,T,14,B,T,15
2013,A,T,8,A,T,9
2013,F,Y,2,F,Y,3
2013,R,X,7,R,X,8
2013,L,Y,10,L,Y,11
2013,B,T,0,B,T,1
2013,B,U,6,B,U,7
2013,B,Y,10,B,Y,11
2013,R,W,5,R,W,6
2013,NONSEND,NONSEND,1,B,T,2
2013,NONSEND,NONSEND,-2,B,T,-1
2013,B,U,4,B,U,5
2013,A,T,3,A,T,4
2013,A,X,12,NONSEND,NONSEND,13
2013,B,T,3,B,T,4
2013,L,Y,10,L,Y,11
2013,NONSEND,NONSEND,-2,B,T,-1
2013,B,T,10,B,T,11
2013,B,V,10,B,V,11
2013,G,Y,5,B,Y,6
2013,A,U,4,A,U,5
2013,B,T,10,B,T,11
2013,F,Y,6,F,Y,7
2013,B,T,6,B,T,7
2013,B,T,2,B,T,3
2013,A,U,-1,A,U,0
2013,NONSEND,NONSEND,7,R,X,8
2013,N,T,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,-1,B,Y,0
2013,B,T,0,A,T,1
2013,L,T,11,C,T,12
2013,B,Y,3,B,Y,4
2013,A,W,4,A,W,5
2013,B,W,9,B,W,10
2013,B,T,5,B,T,6
2013,A,T,7,A,T,8
2013,E,X,10,E,X,11
2013,A,T,7,E,T,8
2013,F,U,1,A,U,2
2013,B,T,2,B,T,3
2013,O,Y,1,O,Y,2
2013,B,T,13,B,T,14
2013,F,T,11,F,T,12
2013,B,U,11,NONSEND,NONSEND,12
2013,B,T,4,B,T,5
2013,B,Y,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,3,B,X,4
2013,B,X,6,I,X,7
2013,B,T,1,B,T,2
2013,NONSEND,NONSEND,9,B,W,10
2013,F,Y,1,F,Y,2
2013,B,X,5,B,X,6
2013,D,T,10,J,T,11
2013,F,U,11,F,U,12
2013,A,W,12,A,W,13
2013,R,U,12,R,U,13
2013,B,T,3,B,T,4
2013,G,T,2,B,T,3
2013,R,U,12,R,U,13
2013,B,T,5,B,T,6
2013,L,T,7,L,T,8
2013,B,T,1,B,T,2
2013,NONSEND,NONSEND,-1,F,Y,0
2013,R,W,12,NONSEND,NONSEND,13
2013,B,T,6,A,T,7
2013,B,X,5,B,X,6
2013,A,U,3,A,U,4
2013,B,T,0,B,T,1
2013,F,Y,7,F,Y,8
2013,B,U,0,B,U,1
2013,B,T,4,B,T,5
2013,B,U,1,B,U,2
2013,B,U,-1,B,U,0
2013,A,U,0,A,U,1
2013,B,T,-1,B,T,0
2013,A,X,7,A,X,8
2013,B,U,0,B,U,1
2013,NONSEND,NONSEND,-1,A,T,0
2013,B,Y,9,B,Y,10
2013,B,T,2,B,T,3
2013,B,Y,2,B,Y,3
2013,L,Y,9,L,Y,10
2013,B,T,10,B,T,11
2013,A,X,2,A,X,3
2013,F,T,3,F,T,4
2013,B,T,2,B,T,3
2013,B,T,10,B,T,11
2013,B,Y,12,B,Y,13
2013,B,U,-1,B,U,0
2013,B,Y,10,B,Y,11
2013,B,T,3,B,T,4
2013,B,T,0,B,T,1
2013,B,U,11,B,U,12
2013,B,T,3,B,T,4
2013,B,X,4,B,X,5
2013,NONSEND,NONSEND,4,B,U,5
2013,B,V,7,B,V,8
2013,J,T,-1,A,T,0
2013,NONSEND,NONSEND,-1,B,T,0
2013,A,T,12,A,T,13
2013,B,T,6,B,T,7
2013,B,V,8,B,V,9
2013,B,T,6,B,T,7
2013,A,U,-2,A,U,-1
2013,B,T,7,B,T,8
2013,F,T,0,F,T,1
2013,A,T,1,A,T,2
2013,G,V,9,G,V,10
2013,B,T,4,B,T,5
2013,B,Y,2,B,Y,3
2013,G,T,7,G,T,8
2013,F,U,5,F,U,6
2013,B,T,1,B,T,2
2013,NONSEND,NONSEND,4,B,T,5
2013,A,T,8,A,T,9
2013,B,T,6,B,T,7
2013,A,T,3,A,T,4
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,T,9,B,T,10
2013,B,T,8,B,T,9
2013,NONSEND,NONSEND,9,B,X,10
2013,B,T,0,B,T,1
2013,B,T,3,B,T,4
2013,B,T,2,NONSEND,NONSEND,3
2013,A,T,6,A,T,7
2013,B,T,8,B,T,9
2013,B,U,4,B,U,5
2013,B,T,4,B,T,5
2013,A,T,6,A,T,7
2013,E,Y,5,E,Y,6
2013,B,U,11,NONSEND,NONSEND,12
2013,E,X,4,E,X,5
2013,A,U,7,A,U,8
2013,B,T,5,F,T,6
2013,B,T,3,B,T,4
2013,B,W,12,B,W,13
2013,NONSEND,NONSEND,-1,B,U,0
2013,B,T,3,B,T,4
2013,R,X,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,1,B,U,2
2013,B,T,4,NONSEND,NONSEND,5
2013,B,X,10,B,X,11
2013,B,T,8,B,T,9
2013,D,U,13,NONSEND,NONSEND,14
2013,B,U,11,B,U,12
2013,B,T,14,NONSEND,NONSEND,15
2013,B,T,2,B,T,3
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,U,5,B,U,6
2013,B,T,0,A,T,1
2013,F,Y,1,F,Y,2
2013,NONSEND,NONSEND,-2,Q,T,-1
2013,A,X,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,0,B,T,1
2013,G,Y,5,G,Y,6
2013,B,U,8,B,U,9
2013,E,U,11,E,U,12
2013,F,U,12,F,U,13
2013,F,T,1,F,T,2
2013,B,T,0,J,T,1
2013,B,T,10,B,T,11
2013,F,T,3,F,T,4
2013,B,U,5,B,U,6
2013,H,T,7,H,T,8
2013,A,X,8,A,X,9
2013,B,T,13,NONSEND,NONSEND,14
2013,B,T,3,B,T,4
2013,A,U,2,A,U,3
2013,R,U,9,R,U,10
2013,B,T,-1,B,T,0
2013,B,Y,7,B,Y,8
2013,B,T,1,B,T,2
2013,NONSEND,NONSEND,-1,B,T,0
2013,A,T,13,A,T,14
2013,B,Y,6,F,Y,7
2013,B,X,5,B,X,6
2013,B,Y,6,B,Y,7
2013,B,T,2,B,T,3
2013,R,W,4,R,W,5
2013,B,U,5,B,U,6
2013,E,X,7,E,X,8
2013,NONSEND,NONSEND,5,B,X,6
2013,B,U,10,B,U,11
2013,F,Y,4,H,Y,5
2013,R,T,10,R,T,11
2013,J,T,7,E,T,8
2013,D,X,7,D,X,8
2013,NONSEND,NONSEND,-2,P,T,-1
2013,NONSEND,NONSEND,4,B,U,5
2013,B,T,10,B,T,11
2013,B,T,1,B,T,2
2013,R,T,4,R,T,5
2013,A,T,10,A,T,11
2013,G,T,10,G,T,11
2013,A,U,2,A,U,3
2013,A,U,12,A,U,13
2013,NONSEND,NONSEND,-2,J,Y,-1
2013,B,X,9,B,X,10
2013,B,T,12,B,T,13
2013,B,T,9,B,T,10
2013,G,Y,-2,G,Y,-1
2013,E,U,10,E,U,11
2013,B,Y,-1,B,Y,0
2013,B,T,8,B,T,9
2013,B,T,8,B,T,9
2013,L,Y,3,L,Y,4
2013,L,Y,10,L,Y,11
2013,NONSEND,NONSEND,-1,B,Y,0
2013,R,W,11,R,W,12
2013,R,T,10,R,T,11
2013,B,T,1,B,T,2
2013,A,X,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,-1,B,T,0
2013,L,Y,8,L,Y,9
2013,A,U,9,A,U,10
2013,B,T,6,A,T,7
2013,A,T,2,A,T,3
2013,B,T,8,B,T,9
2013,H,T,10,H,T,11
2013,B,U,6,B,U,7
2013,B,U,4,I,U,5
2013,B,T,-1,B,T,0
2013,B,Y,9,B,Y,10
2013,A,T,7,A,T,8
2013,B,T,10,B,T,11
2013,E,Y,14,NONSEND,NONSEND,15
2013,A,W,0,A,W,1
2013,B,Y,5,B,Y,6
2013,B,U,9,B,U,10
2013,B,T,9,E,T,10
2013,NONSEND,NONSEND,0,B,T,1
2013,B,U,7,B,U,8
2013,B,T,2,B,T,3
2013,B,Y,9,B,Y,10
2013,B,T,9,B,T,10
2013,B,T,5,L,T,6
2013,B,T,0,B,T,1
2013,B,Y,12,B,Y,13
2013,F,T,5,F,T,6
2013,B,T,11,B,T,12
2013,B,T,0,B,T,1
2013,NONSEND,NONSEND,-3,P,Y,-2
2013,A,U,0,A,U,1
2013,B,T,6,B,T,7
2013,B,U,4,B,U,5
2013,NONSEND,NONSEND,-3,J,T,-2
2013,M,Y,8,M,Y,9
2013,B,Y,11,B,Y,12
2013,B,T,9,B,T,10
2013,B,U,10,B,U,11
2013,B,T,9,B,T,10
2013,A,T,4,A,T,5
2013,B,X,12,NONSEND,NONSEND,13
2013,B,T,7,B,T,8
2013,B,T,3,B,T,4
2013,NONSEND,NONSEND,-2,B,T,-1
2013,B,T,10,B,T,11
2013,B,T,4,B,T,5
2013,B,W,9,B,W,10
2013,B,T,1,B,T,2
2013,B,T,4,B,T,5
2013,B,V,0,B,V,1
2013,B,T,0,NONSEND,NONSEND,1
2013,B,T,9,B,T,10
2013,B,T,3,A,T,4
2013,NONSEND,NONSEND,-2,Q,T,-1
2013,B,T,4,NONSEND,NONSEND,5
2013,B,T,11,B,T,12
2013,A,T,6,A,T,7
2013,A,T,5,A,T,6
2013,NONSEND,NONSEND,8,R,X,9
2013,B,T,10,B,T,11
2013,B,T,1,B,T,2
2013,B,U,9,B,U,10
2013,A,U,-3,A,U,-2
2013,B,T,11,B,T,12
2013,NONSEND,NONSEND,0,B,T,1
2013,E,W,10,NONSEND,NONSEND,11
2013,B,T,7,NONSEND,NONSEND,8
2013,B,T,4,B,T,5
2013,B,V,-1,I,V,0
2013,A,U,-1,A,U,0
2013,NONSEND,NONSEND,8,R,X,9
2013,NONSEND,NONSEND,0,B,T,1
2013,A,T,10,A,T,11
2013,A,T,3,A,T,4
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,T,11,NONSEND,NONSEND,12
2013,NONSEND,NONSEND,-2,B,V,-1
2013,B,T,13,B,T,14
2013,B,V,5,B,V,6
2013,A,T,6,A,T,7
2013,D,X,13,NONSEND,NONSEND,14
2013,A,T,1,A,T,2
2013,F,U,1,F,U,2
2013,A,X,11,NONSEND,NONSEND,12
2013,B,T,8,B,T,9
2013,B,T,6,B,T,7
2013,A,U,-2,A,U,-1
2013,I,V,10,I,V,11
2013,F,Y,0,A,Y,1
2013,K,T,2,K,T,3
2013,B,T,6,B,T,7
2013,A,W,0,A,W,1
2013,B,T,4,B,T,5
2013,B,T,6,B,T,7
2013,NONSEND,NONSEND,5,R,X,6
2013,B,U,3,B,U,4
2013,F,T,2,F,T,3
